# Logfile created on 2026-03-24 15:52:29 +0100 by logger.rb/v1.4.3
2026-03-24 15:52:29 +0100: Memory Usage (434524K) : nbulay_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434652K) : nbulay_block has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434652K) : emwind_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434652K) : emwind_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434780K) : deepco_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434780K) : deepco_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434780K) : mim_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434908K) : edgeseal_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (434908K) : edgeseal_bound has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435036K) : substrate_drw has 20 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435036K) : substrate_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435036K) : dfpad_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435164K) : dfpad_pillar has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435164K) : dfpad_sbump has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435292K) : thickgateox_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435292K) : pldb_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435292K) : pwell_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435420K) : pwell_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435420K) : pwell_block has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435548K) : ic_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435548K) : via3_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435548K) : metal4_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435676K) : metal4_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435676K) : metal4_mask has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435804K) : metal4_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435804K) : metal4_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435804K) : metal4_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435804K) : metal4_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435932K) : metal4_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (435932K) : metal4_noqrc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436060K) : metal4_res has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436060K) : metal4_iprobe has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436060K) : metal4_diffprb has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436188K) : heattrans_drw has 47 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436188K) : heatres_drw has 3 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436316K) : pempoly_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436316K) : fbe_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436444K) : empoly_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436444K) : ldmos_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436444K) : pbiwind_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436572K) : digisub_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436572K) : nodrc_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436700K) : text_drw has 46 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436700K) : via4_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436700K) : metal5_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436828K) : metal5_pin has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436828K) : metal5_mask has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436956K) : metal5_filler has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436956K) : metal5_nofill has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (436956K) : metal5_slit has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437084K) : metal5_text has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437084K) : metal5_opc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437084K) : metal5_noqrc has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437084K) : metal5_res has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437212K) : metal5_iprobe has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437212K) : metal5_diffprb has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437340K) : radhard_drw has 0 polygons
2026-03-24 15:52:29 +0100: Memory Usage (437340K) : memcap_drw has 0 polygons
